Date,MaxT,MinT,Pcpn,Snow,Snwg
1/20/2017,58,48,1.28,M,0
1/21/2017,59,40,0,0,0
1/22/2017,53,47,1.89,M,0
1/23/2017,53,41,0.09,M,0
1/24/2017,55,36,0,0,0
1/25/2017,59,35,0,0,0
1/26/2017,60,36,0,0,0
1/27/2017,61,48,0,0,0
1/28/2017,73,52,0,0,0
1/29/2017,75,59,0,0,0
1/30/2017,79,49,0,0,0
1/31/2017,74,43,0,0,0
2/1/2017,70,41,0,0,0
2/2/2017,66,49,T,M,0
2/3/2017,58,52,0.3,0,0
2/4/2017,65,50,0,0,0
2/5/2017,56,44,T,M,0
2/6/2017,58,51,0.67,0,0
2/7/2017,65,56,0.25,0,0
2/8/2017,74,58,0.06,0,0
2/9/2017,80,53,0,0,0
2/10/2017,64,54,M,0,0
2/11/2017,67,51,M,0,0
2/12/2017,72,48,0,0,0
2/13/2017,76,58,0,0,0
2/14/2017,74,54,0,0,0
2/15/2017,79,46,0,0,0
2/16/2017,71,47,0.01,M,0
2/17/2017,56,50,3.25,0,0
2/18/2017,60,49,0.1,M,0
2/19/2017,58,47,0.09,M,0
2/20/2017,58,50,0.12,0,0
2/21/2017,63,53,0.03,0,0
2/22/2017,63,44,0,0,0
2/23/2017,57,45,0,0,0
2/24/2017,64,43,0,0,0
2/25/2017,62,36,0,0,0
2/26/2017,56,45,0.12,M,0
2/27/2017,56,48,T,M,0
2/28/2017,65,45,0,0,0
3/1/2017,73,42,0,0,0
3/2/2017,80,48,0,0,0
3/3/2017,80,47,0,0,0
3/4/2017,69,46,0,0,0
3/5/2017,60,45,T,M,0
3/6/2017,65,43,0,0,0
3/7/2017,75,42,0,0,0
3/8/2017,83,49,0,0,0
3/9/2017,87,52,0,0,0
3/10/2017,83,53,0,0,0
